,Date1,Away_Team1,Home_Team1,Stadium1,Location1,League1,Lat_Lon1,Date2,Away_Team2,Home_Team2,Stadium2,Location2,League2,Lat_Lon2,Date3,Away_Team3,Home_Team3,Stadium3,Location3,League3,Lat_Lon3
483,2022-11-03,Philadelphia Eagles,Houston Texans,NRG Stadium,"Houston, TX",NFL,"(29.7589382, -95.3676974)",2022-11-05,Florida,Texas A&M,Kyle Field,"College Station, TX",FBS,"(30.5955289, -96.3071042)",,,,,,,
484,2022-11-03,Philadelphia Eagles,Houston Texans,NRG Stadium,"Houston, TX",NFL,"(29.7589382, -95.3676974)",2022-11-05,Jackson State,Texas Southern,PNC Stadium,"Houston, TX",FCS,"(29.7589382, -95.3676974)",,,,,,,
485,2022-11-03,Appalachian State,Coastal Carolina,Brooks Stadium (SC),"Conway, SC",FBS,"(33.8360035, -79.0478143)",2022-11-05,Chattanooga,The Citadel,Johnson Hagood Stadium,"Charleston, SC",FCS,"(32.7876012, -79.9402728)",,,,,,,
486,2022-11-03,Appalachian State,Coastal Carolina,Brooks Stadium (SC),"Conway, SC",FBS,"(33.8360035, -79.0478143)",2022-11-05,Robert Morris,Charleston Southern,Buccaneer Field,"Charleston, SC",FCS,"(32.7876012, -79.9402728)",,,,,,,
487,2022-11-04,Duke,Boston College,"Alumni Stadium (Chestnut Hill, MA)","Chestnut Hill, MA",FBS,"(42.3306529, -71.1661647)",2022-11-05,Campbell,Bryant,Beirne Stadium,"Smithfield, RI",FCS,"(41.9220433, -71.549507)",,,,,,,
488,2022-11-04,Duke,Boston College,"Alumni Stadium (Chestnut Hill, MA)","Chestnut Hill, MA",FBS,"(42.3306529, -71.1661647)",2022-11-05,Maine,Rhode Island,Meade Stadium,"Kingston, RI",FCS,"(41.4729285, -71.52234712149811)",,,,,,,
489,2022-11-04,Duke,Boston College,"Alumni Stadium (Chestnut Hill, MA)","Chestnut Hill, MA",FBS,"(42.3306529, -71.1661647)",2022-11-05,Wagner,Stonehill College,W.B. Mason Stadium,"North Easton, MA",FCS,"(42.0667665, -71.1036592)",,,,,,,
490,2022-11-04,Duke,Boston College,"Alumni Stadium (Chestnut Hill, MA)","Chestnut Hill, MA",FBS,"(42.3306529, -71.1661647)",2022-11-05,Lehigh,Holy Cross,Fitton Field,"Worcester, MA",FCS,"(42.2625621, -71.8018877)",,,,,,,
491,2022-11-04,UMass,UConn,Pratt & Whitney Stadium,"East Hartford, CT",FBS,"(41.7823216, -72.6120346)",2022-11-05,Campbell,Bryant,Beirne Stadium,"Smithfield, RI",FCS,"(41.9220433, -71.549507)",,,,,,,
492,2022-11-04,UMass,UConn,Pratt & Whitney Stadium,"East Hartford, CT",FBS,"(41.7823216, -72.6120346)",2022-11-05,Brown,Yale,Yale Bowl,"New Haven, CT",FCS,"(41.3082138, -72.9250518)",,,,,,,
493,2022-11-04,UMass,UConn,Pratt & Whitney Stadium,"East Hartford, CT",FBS,"(41.7823216, -72.6120346)",2022-11-05,Brown,Yale,Yale Bowl,"New Haven, CT",FCS,"(41.3082138, -72.9250518)",2022-11-06 00:00:00,Buffalo Bills,New York Jets,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)"
494,2022-11-04,UMass,UConn,Pratt & Whitney Stadium,"East Hartford, CT",FBS,"(41.7823216, -72.6120346)",2022-11-05,Maine,Rhode Island,Meade Stadium,"Kingston, RI",FCS,"(41.4729285, -71.52234712149811)",,,,,,,
495,2022-11-04,UMass,UConn,Pratt & Whitney Stadium,"East Hartford, CT",FBS,"(41.7823216, -72.6120346)",2022-11-05,Morgan State,Stony Brook,Kenneth P. LaValle Stadium,"Stony Brook, NY",FCS,"(40.9087015, -73.13960360056436)",,,,,,,
496,2022-11-04,UMass,UConn,Pratt & Whitney Stadium,"East Hartford, CT",FBS,"(41.7823216, -72.6120346)",2022-11-05,Morgan State,Stony Brook,Kenneth P. LaValle Stadium,"Stony Brook, NY",FCS,"(40.9087015, -73.13960360056436)",2022-11-06 00:00:00,Buffalo Bills,New York Jets,MetLife Stadium,"East Rutherford, NJ",NFL,"(40.82046, -74.08307621723368)"
497,2022-11-04,UMass,UConn,Pratt & Whitney Stadium,"East Hartford, CT",FBS,"(41.7823216, -72.6120346)",2022-11-05,Wagner,Stonehill College,W.B. Mason Stadium,"North Easton, MA",FCS,"(42.0667665, -71.1036592)",,,,,,,
498,2022-11-04,UMass,UConn,Pratt & Whitney Stadium,"East Hartford, CT",FBS,"(41.7823216, -72.6120346)",2022-11-05,Central Connecticut,Long Island University,Bethpage Federal Credit Union Stadium,"Old Westbury, NY",FCS,"(40.7887113, -73.5995717)",,,,,,,
